dBm,theta
-1.075931644241635,0
-1.0822720711261269,1
-1.0802274352636374,2
-1.055493667851259,3
-0.9847107560935413,4
-0.9279974670640598,5
-0.869050614814256,6
-0.8085300190426423,7
-0.7794477246695664,8
-0.7466114552646985,9
-0.80345413558058,10
-0.8548570922565304,11
-0.9623268234218827,12
-1.0851300226696026,13
-1.1837143436957263,14
-1.2785441242176674,15
-1.4731302620847089,16
-1.4106881050004603,17
-2.017537046009231,18
-2.3455422796344934,19
-2.5097020178753837,20
-2.7441767878110355,21
-3.0703933921630195,22
-3.4550061638824374,23
-3.6418585606600047,24
-3.878747359823855,25
-4.214452194983096,26
-4.316484981327797,27
-4.6220449376642065,28
-4.934591418878803,29
-5.0909208195386455,30
-5.372165987276716,31
-5.479980990659186,32
-5.666685700521008,33
-6.021378170521878,34
-6.285418925464185,35
-6.574275721908521,36
-6.816169002953295,37
-6.983691339566292,38
-7.3475866664444425,39
-7.5076379022632835,40
-8.117601034771177,41
-8.616853612309228,42
-8.859007625578052,43
-9.252988339628224,44
-9.854415076035487,45
-10.214410674468624,46
-10.59522064427739,47
-10.684398647111252,48
-11.063921815759457,49
-11.477098142630041,50
-11.894338597359202,51
-12.180804593711791,52
-12.404121550683975,53
-12.68095929741132,54
-12.875678983289468,55
-13.140125025400351,56
-13.45836553743753,57
-14.0692378920061,58
-13.99371464503703,59
-14.272172007208304,60
-14.64775472447458,61
-14.944149867766889,62
-14.990921928141937,63
-15.371979537952093,64
-15.748153034087387,65
-15.920505224193803,66
-16.260251745596484,67
-16.616685933122454,68
-16.447257235796805,69
-17.23327543268271,70
-17.366664908714377,71
-17.511630048793705,72
-17.926276260521675,73
-18.313901621068055,74
-18.567837575882955,75
-19.198290782056844,76
-19.649351673161185,77
-19.359375642647578,78
-20.632152530267895,79
-21.17795802641257,80
-22.27160876286389,81
-22.93603711899258,82
-23.62310767420358,83
-24.18625817970335,84
-24.750170761761524,85
-26.02865789320208,86
-27.03112938949853,87
-27.510028002951913,88
-28.2457452146756,89
-28.948276052510394,90
-29.488683911826136,91
-29.796890127009874,92
-30.093955433808446,93
-30.261054117746227,94
-30.049570477052725,95
-30.055223671829964,96
-29.892802319540266,97
-29.845391994485,98
-29.356965676455594,99
-29.413781568125778,100
-29.251287595079546,101
-28.952979533725184,102
-28.52618492785605,103
-28.32251374024942,104
-28.17201418996484,105
-27.951493709680165,106
-27.738448278469285,107
-27.462555632600896,108
-27.15078952315998,109
-27.247106471467276,110
-27.02795314269217,111
-26.93510342400546,112
-26.866901155862905,113
-26.742703200987563,114
-26.721314595106016,115
-26.452284561937745,116
-26.48869476218323,117
-26.653313992540106,118
-26.672837880998856,119
-26.648309303201707,120
-27.098171538949828,121
-27.472492666833674,122
-27.821914407497886,123
-28.599066565904515,124
-29.10819050110144,125
-29.75183875051667,126
-30.166538403835375,127
-30.340660390626496,128
-30.365794352664906,129
-30.131584936937173,130
-29.312442517474054,131
-28.952833812135623,132
-28.047569515334963,133
-27.200175049124887,134
-26.10656099025205,135
-25.837909315728346,136
-24.941768953402644,137
-24.001680603042857,138
-23.2019188757179,139
-22.963992218359046,140
-22.141814565389424,141
-21.27202462811858,142
-20.992292215510773,143
-20.437577014458434,144
-19.997525135557183,145
-19.93746362047353,146
-19.176445990659815,147
-19.187928741764523,148
-18.964170974528706,149
-18.839895573788056,150
-18.73296828575255,151
-18.580204057444718,152
-18.469394810495096,153
-18.487120408116496,154
-18.39395919929394,155
-18.431696815757157,156
-18.40366975794263,157
-18.459895973192488,158
-18.54848120178424,159
-18.63009359154382,160
-18.740188208492356,161
-19.002852983163073,162
-19.17215960734682,163
-19.4253845310307,164
-19.61074770546775,165
-20.21853919647387,166
-20.70640878849685,167
-20.979477914969827,168
-21.864288447612424,169
-22.485237361146275,170
-22.788340082129487,171
-23.75836905619898,172
-24.555926931606848,173
-24.982079184356103,174
-25.80506930365911,175
-26.641381883143865,176
-27.058047145635015,177
-27.658986169468932,178
-27.857470755341225,179
-28.372329362249992,180
-28.49797956351457,181
-28.270449201661215,182
-28.406857771821585,183
-27.972488449289926,184
-27.864964041335142,185
-27.553693882188448,186
-27.461339421233554,187
-27.246203707081378,188
-26.931743640888662,189
-26.814213717513837,190
-26.76135042324914,191
-26.600182454812177,192
-26.441381820250243,193
