dBm,theta
-0.9265842156614426,0
-0.9762386617595951,1
-0.9461514953101684,2
-0.9034611461303612,3
-0.7798023522519912,4
-0.7146163216741215,5
-0.6976968063161877,6
-0.639483110295302,7
-0.6547170188302118,8
-0.6896875699739056,9
-0.7197129195901368,10
-0.7495264424540622,11
-0.9031115335004998,12
-1.088696884439166,13
-1.4491949631630732,14
-1.605040500295523,15
-2.303394041363809,16
-2.2263485902240063,17
-2.556763541953522,18
-3.034523022874083,19
-3.272181032049538,20
-3.6395212948975058,21
-4.010662181873734,22
-4.271237156741954,23
-4.5618218224183025,24
-4.330075740345549,25
-5.124741779533778,26
-5.426560475639647,27
-5.782319488356222,28
-5.977045420876493,29
-6.305428595860853,30
-6.603565070133172,31
-6.871349887064106,32
-7.470277028420128,33
-7.834701326231034,34
-8.27504331560062,35
-8.71515583988829,36
-9.129521771006345,37
-9.640392437038706,38
-10.466833932598178,39
-10.585363461816016,40
-11.139828288639606,41
-11.485780490168331,42
-11.838268852000652,43
-12.185637684925318,44
-12.36409904588973,45
-12.673882204760815,46
-12.955996149198327,47
-13.29678386953978,48
-13.576410982087737,49
-14.24063811756146,50
-14.228848112973012,51
-14.562013342874224,52
-14.8856027522501,53
-15.099464064182655,54
-15.477650216489039,55
-15.747509245001432,56
-16.04088611765536,57
-16.220824226897633,58
-16.481955985007104,59
-16.3554476914492,60
-17.137344895209125,61
-17.300899610481878,62
-17.791284308696255,63
-18.099071083812525,64
-18.591612688992754,65
-19.090601410438424,66
-19.864331069633735,67
-20.41239125325388,68
-21.062081654961105,69
-22.44462089343743,70
-23.381556849889527,71
-24.080791732586086,72
-25.649498849826763,73
-26.47514625020093,74
-27.876054338936996,75
-28.743047525001963,76
-29.751612088090027,77
-30.18507734488236,78
-30.914069931111328,79
-30.832518276788974,80
-31.232958682340325,81
-30.839792095431775,82
-30.876104799130573,83
-30.27084273863767,84
-29.98409300175544,85
-29.65820086538293,86
-29.312675315992223,87
-28.96707761893117,88
-28.393536411974686,89
-27.893716880324376,90
-27.997518279873447,91
-27.349635743647788,92
-27.118098314455203,93
-26.842657338029056,94
-26.728935792821886,95
-26.60584591119789,96
-26.1611041993293,97
-26.102543754830492,98
-26.066316746587802,99
-25.90626451201787,100
-26.126738868693856,101
-26.55061064882686,102
-26.24707004078411,103
-26.59201713535841,104
-27.665953213510164,105
-28.067573671382235,106
-29.02412381303575,107
-29.78948413966426,108
-29.833564723826,109
-29.99735178498414,110
-29.413476569981853,111
-28.960331959621428,112
-27.735947406872015,113
-26.91829824675208,114
-26.01658258092167,115
-25.38303675727689,116
-24.478624615010148,117
-23.610791603830222,118
-22.677096294486148,119
-21.80195207459795,120
-21.302286301279636,121
-20.537861429210686,122
-20.044453617796513,123
-19.753686490512806,124
-19.102734776571324,125
-19.005932282571408,126
-18.744517106596682,127
-18.5839227686481,128
-18.37926945162573,129
-18.30816007538649,130
-18.328348542203393,131
-18.256899391066007,132
-18.267181121474025,133
-18.266540681466324,134
-18.339678479243204,135
-18.557927104586675,136
-18.5881214577198,137
-18.980572846820415,138
-19.290267563665765,139
-19.445442234223663,140
-20.320625717097172,141
-20.92874410637843,142
-21.714248148944165,143
-22.21689693633988,144
-22.820502646038648,145
-23.92026783587484,146
-24.760817505513984,147
-25.464678981586104,148
-26.08613973859869,149
-26.787600110325755,150
-27.32096668611132,151
-27.971695123672177,152
-28.08392148450109,153
-28.544786459203493,154
-28.114844735244112,155
-27.909455727770577,156
-27.795903130569485,157
-27.387398726648797,158
-26.73706439983276,159
-26.589230791396147,160
-26.495718561968204,161
-26.17483640724774,162
-26.344159306058813,163
-26.48615848058766,164
-26.77835283830158,165
-27.001570723662972,166
-27.479917647931366,167
-27.800430231547608,168
-28.28139242091551,169
-29.45999715369971,170
-30.17455995912931,171
-31.11050423407626,172
-32.16608367517142,173
-32.42295695022952,174
-33.181261431298765,175
-32.89978292532929,176
-33.10373148668607,177
-32.7882011872685,178
-32.25334122797037,179
-32.0676359080268,180
-31.26848916869261,181
-30.93461145354395,182
-30.553950034084124,183
-30.309785855244357,184
-29.804944940641107,185
-29.4213084614612,186
-29.221431261615813,187
-29.334193133466627,188
-29.291495252564914,189
-29.269302259653884,190
-28.93412781601105,191
-29.150658144773296,192
-29.755136996684733,193
-30.358454499848207,194
-30.594715712984794,195
-31.55377570557495,196
-31.951868017142885,197
-32.78374647010715,198
-33.82005730709419,199
-34.3472005309505,200
-34.95243245493687,201
-35.86850869930325,202
-37.156578523529404,203
-37.912760116811,204
-39.164216815772846,205
-39.44967269186327,206
-38.16689694879912,207
-37.768323631182255,208
